rumble,mid,0.48872180451127817,195,399
rumble,top,0.4854771784232365,117,241
rumble,support,0.45161290322580644,14,31
rumble,jungle,0.5,1,2
rumble,bot,1.0,1,1
elise,jungle,0.4797297297297297,426,888
elise,bot,0.0,0,2
elise,top,0.0,0,2
elise,support,0.0,0,1
qiyana,mid,0.47586206896551725,138,290
qiyana,jungle,0.6575342465753424,48,73
qiyana,top,0.375,3,8
miss fortune,bot,0.5062819916240112,1088,2149
miss fortune,mid,0.0,0,2
miss fortune,support,0.0,0,1
miss fortune,top,0.0,0,1
nautilus,support,0.4880257009345794,1671,3424
nautilus,mid,0.4393939393939394,29,66
nautilus,bot,0.5,2,4
nautilus,top,0.0,0,2
nautilus,jungle,0.0,0,1
aatrox 2018,top,0.4779281930547381,812,1699
aatrox 2018,mid,0.4666666666666667,28,60
aatrox 2018,bot,0.09090909090909091,1,11
aatrox 2018,jungle,0.0,0,11
aatrox 2018,support,0.0,0,10
gragas,jungle,0.5044964028776978,561,1112
gragas,support,0.42028985507246375,29,69
gragas,top,0.3191489361702128,15,47
gragas,mid,0.2777777777777778,5,18
gragas,bot,0.0,0,10
mordekaiser 2019,top,0.48336252189141854,552,1142
mordekaiser 2019,mid,0.3870967741935484,24,62
mordekaiser 2019,jungle,0.2,3,15
mordekaiser 2019,support,0.07692307692307693,1,13
mordekaiser 2019,bot,0.0,0,11
xayah,bot,0.45875542691751087,317,691
xayah,support,0.09090909090909091,1,11
xayah,mid,0.0,0,12
xayah,jungle,0.0,0,10
xayah,top,0.0,0,10
rakan,support,0.5532900834105653,597,1079
rakan,mid,0.2857142857142857,4,14
rakan,jungle,0.0,0,12
rakan,bot,0.0,0,10
rakan,top,0.0,0,10
varus 2018,bot,0.5199719691660827,742,1427
varus 2018,mid,0.48148148148148145,13,27
tahm kench,support,0.49205087440381556,619,1258
tahm kench,bot,0.2,1,5
tahm kench,jungle,1.0,1,1
jayce,top,0.48627450980392156,248,510
jayce,mid,0.48663101604278075,91,187
jayce,bot,0.07142857142857142,1,14
jayce,jungle,0.09090909090909091,1,11
jayce,support,0.0,0,12
jarvan iv,jungle,0.47581989994441354,856,1799
jarvan iv,top,0.21052631578947367,4,19
jarvan iv,support,0.0625,1,16
jarvan iv,mid,0.09090909090909091,1,11
jarvan iv,bot,0.0,0,10
orianna,mid,0.5002549719530852,981,1961
orianna,bot,0.07142857142857142,1,14
orianna,support,0.0,0,12
orianna,jungle,0.0,0,10
orianna,top,0.0,0,10
sejuani,jungle,0.4626865671641791,496,1072
sejuani,top,0.5,2,4
sejuani,support,0.5,1,2
azir,mid,0.4666301969365427,853,1828
azir,top,1.0,1,1
azir,bot,0.0,0,4
renekton,top,0.5299472927647341,1106,2087
renekton,mid,0.5520833333333334,53,96
renekton,support,0.3333333333333333,1,3
renekton,bot,1.0,1,1
renekton,jungle,0.0,0,2
rek'sai,jungle,0.5086206896551724,472,928
rek'sai,mid,1.0,2,2
quinn,top,0.39655172413793105,23,58
quinn,bot,0.0,0,1
olaf,jungle,0.49622799664710815,592,1193
olaf,top,0.5238095238095238,11,21
olaf,mid,0.3333333333333333,1,3
leona,support,0.49248554913294795,852,1730
leona,top,1.0,1,1
leona,mid,0.0,0,2
pantheon 2019,support,0.4873417721518987,154,316
pantheon 2019,mid,0.525,147,280
pantheon 2019,jungle,0.42528735632183906,74,174
pantheon 2019,top,0.39285714285714285,33,84
pantheon 2019,bot,0.0,0,14
cassiopeia,mid,0.5412960609911055,426,787
cassiopeia,bot,0.47368421052631576,45,95
cassiopeia,top,0.5365853658536586,22,41
cassiopeia,jungle,1.0,1,1
cassiopeia,support,0.0,0,1
lee sin,jungle,0.48510281158203944,1156,2383
lee sin,mid,0.6666666666666666,2,3
lee sin,support,1.0,2,2
lee sin,top,0.0,0,1
lucian,mid,0.49,245,500
lucian,bot,0.4583333333333333,176,384
lucian,top,0.4860335195530726,87,179
lucian,support,1.0,2,2
irelia 2018,mid,0.43548387096774194,135,310
